"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...16","INCLUSION3","WHY3","Notes...19","Country","Title"
346,"Amara","not vetted",503,"Metcalfe, Daniel B.; Rocha, Wanderley; Balch, Jennifer K.; Brando, Paulo M.; Doughty, Christopher E.; Malhi, Yadvinder","Impacts of fire on sources of soil CO<sub>2</sub> efflux in a dry Amazon rain forest","GLOBAL CHANGE BIOLOGY",24,"3629","3641","10.1111/gcb.14305",2018,"Fire at the dry southern margin of the Amazon rainforest could have major consequences for regional soil carbon (C) storage and ecosystem carbon dioxide (CO2) emissions, but relatively little information exists about impacts of fire on soil C cycling within this sensitive ecotone. We measured CO2 effluxes from different soil components (ground surface litter, roots, mycorrhizae, soil organic matter) at a large-scale burn experiment designed to simulate a severe but realistic potential future scenario for the region (Fire plot) in Mato Grosso, Brazil, over 1year, and compared these measurements to replicated data from a nearby, unmodified Control plot. After four burns over 5 years, soil CO2 efflux (R-s) was similar to 5.5 t C ha(-1) year(-1) lower on the Fire plot compared to the Control. Most of the Fire plot R-s reduction was specifically due to lower ground surface litter and root respiration. Mycorrhizal respiration on both plots was around similar to 20% of R-s. Soil surface temperature appeared to be more important than moisture as a driver of seasonal patterns in R-s at the site. Regular fire events decreased the seasonality of R-s at the study site, due to apparent differences in environmental sensitivities among biotic and abiotic soil components. These findings may contribute toward improved predictions of the amount and temporal pattern of C emissions across the large areas of tropical forest facing increasing fire disturbances associated with climate change and human activities.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"impacts of fire on sources of soil co<sub>2<sub> efflux in a dry amazon rain forest"
347,"Amara","not vetted",488,"Meyer, M. D.; North, M. P.; Roberts, S. L.","Truffle abundance in recently prescribed burned and unburned forests in Yosemite National Park: implications for mycophagous mammals.","Fire Ecology",4,"105","114",NA,2008,"Truffles are an important food resource for wildlife in North American forests, but decades of fire exclusion have altered the availability of this resource. In Yosemite National Park, resource management policies seek to restore essential forest processes such as fire while minimizing adverse ecological impacts that may result from burning decades of accumulated fuels. Burning can impact truffles through heat stress, elimination of soil organic layers, and damage to tree hosts, but these effects may be dependent on time lags between fires and fire frequency. We examined truffle abundance, and species diversity and composition in four paired burned and unburned sites (8 sites total) in Yosemite to determine the short-term effect of fire on truffles and its implications for truffle-consuming mammals. Burned and unburned sites had similar truffle biomass and species richness, but truffle frequency was greater in unburned than burned sites. Truffle species composition was distinctively different between burned and unburned sites, although seven species were found exclusively in both burned and unburned sites. Truffles were positively associated with litter depth in burned and unburned sites, although this association was stronger in burned sites. Prescribed burning may enhance the regional diversity of truffles for mycophagous mammals across the forest landscape without impacting total abundance in Yosemite National Park.","YES",NA,"YES","YES","Article",NA,"YES",NA,NA,"USA","truffle abundance in recently prescribed burned and unburned forests in yosemite national park implications for mycophagous mammals"
348,"Amara","not vetted",478,"Meyer, Marc D.; North, Malcolm; Kelt, Douglas A.","Forests, fungi, and small mammals: The impact of fire and thinning on truffle production and consumption.","Ecological Society of America Annual Meeting Abstracts",89,"349","349",NA,2004,NA,"YES",NA,"YES","NA","Conference abstract?",NA,NA,NA,NA,NA,"forests fungi and small mammals the impact of fire and thinning on truffle production and consumption"
349,"Amara","not vetted",434,"Meyer, MD; North, MP; Kelt, DA","Short-term effects of fire and forest thinning on truffle abundance and consumption by <i>Neotamias speciosus</i> in the Sierra Nevada of California","CANADIAN JOURNAL OF FOREST RESEARCH",35,"1061","1070","10.1139/x05-032",2005,"In many western North American forests, prescribed burning and mechanical thinning are widely used to reduce fuels and restore stand conditions after a century of fire suppression. Few studies have followed the relative impacts of these treatments on the production and consumption of truffles in forest ecosystems, particularly in the Sierra Nevada of California. Using a full-factorial completely randomized design, we examined the short-term impacts of prescribed burning (no burn and burn), mechanical thinning (no thin, light thin, and heavy thin), and combinations of these treatments on the production of truffles and their consumption by lodgepole chipmunks (Neotamias speciosus Merriam) in a mixed-conifer forest of the southern Sierra Nevada of California. Truffle frequency, biomass, and species richness were lower in thinned or burned plots than controls, as was the frequency and generic richness of truffles in the diet of N. speciosus. Truffle frequency, biomass, and species richness, and truffle consumption by N. speciosus were lower in heavily thinned and thinned and burned plots than in those exclusively burned. These results suggest that either thinning or burning can reduce short-term truffle production and consumption, and potentially the dispersal of ectomycorrhizal spores by small mammals. Moreover, truffles decreased with treatment intensity, suggesting heavy thinning and higher burn intensity, particularly when applied together, can significantly affect short-term truffle abundance and small mammal consumption.","YES",NA,"YES","YES","Article",NA,"YES",NA,"Only truffle survey. Hypogeous fungi","USA","shortterm effects of fire and forest thinning on truffle abundance and consumption by <i>neotamias speciosus<i> in the sierra nevada of california"
350,"Amara","not vetted",97,"Miller, SL; McClean, TM; Stanton, NL; Williams, SE","Mycorrhization, physiognomy, and first-year survivability of conifer seedlings following natural fire in Grand Teton National Park","CANADIAN JOURNAL OF FOREST RESEARCH",28,"115","122","10.1139/cjfr-28-1-115",1998,"Ectomycorrhiza formation, survivability, and physiognomic characteristics were assessed for conifer seedlings encountered 1 and 2 years postfire in the Huck burn site near Grand Teton National Park. Pinus contorta Dougl. ex Loud. germinated and was abundant throughout the first growing season. Abies lasiocarpa (Hook.) Nutt. germinated during May and June but was rarely encountered by September. First-year survivorship of P. contorta seedlings was about 50% for east-facing burn and edge and west-facing burn treatments. Mortality was higher in the west-facing edge treatment at about 64%. Pinus contorta seedlings collected in July and August had allocated approximately 75% more biomass to epicotyl production than to hypocotyl production, whereas by September seedlings had allocated 30-50% of their biomass to hypocotyls, regardless of site or treatment. Few or no ectomycorrhizae were formed until September. By September 100% of surviving seedlings were ectomycorrhizal. The number of ectomycorrhizae was positively correlated with the number of primary needles and the root/shoot ratio. These results highlight the importance of mycorrhizae to conifer seedling survival during the initial growing season and point to alteration of carbon allocation as a primary mechanism affecting seedling survival.","NO","Does not approach fire effects on ECM","YES","YES","Article",NA,"NO","Off_topic","They do not present results about ECM communities","USA","mycorrhization physiognomy and firstyear survivability of conifer seedlings following natural fire in grand teton national park"
351,"Amara","not vetted",537,"MILLER, SL; TORRES, P; MCCLEAN, TM","PERSISTENCE OF BASIDIOSPORES AND SCLEROTIA OF ECTOMYCORRHIZAL FUNGI AND MORCHELLA IN SOIL","MYCOLOGIA",86,"89","95","10.2307/3760722",1994,"Locations of epigeous basidiocarps of five common ectomycorrhizal fungi with substantial spore deposits beneath them and of two hypogeous species were marked in the fall. Subsamples of the litter and mineral soil at 0- to 3- and 3- to 6-cm depths were subsequently taken with a soil corer from locations marked for epigeous basidiocarps, and extracted in the fall and again following snowmelt with a procedure developed to enumerate propagules of ectomycorrhizal fungi from the soil. Spores of most epigeous species were plentiful in the litter layer in the fall but were much less abundant in the spring. Spores of Suillus brevipes, Suillus tomentosus and Lactarius scrobiculatus were still present at the 0- to 3-cm depth in the spring. No spores of any of the epigeous fungi were found at the 3- to 6-cm depth in the spring. Subsamples of mineral soil were also taken in the spring at locations marked for the hypogeous fungi. Spores of both Rhizopogon subcaerulescens and Rhizopogon rubescens were present in high numbers in the lowermost soil fractions after snowmelt. In a second study sclerotia of two species of fungi were extracted from soil in a burned area and a nearby unburned forest for 2 years following fire. Sclerotia of Cenococcum geophilum and a species of Morchella were more numerous in the burn than in the unburned forest in both years. Both basidiospores and sclerotia persisted in the soil for at least 2 years. Basidiospores of hypogeous fungi appear to persist in the soil for longer periods than those of epigeous fungi due to in situ dispersion deeper into the soil profile. Although maximum longevity of spores in the soil has not been determined, observed differential persistence of spores from epigeous and hypogeous ectomycorrhizal fungi could play a role in soil mycorrhiza-forming potential and population dynamics of ectomycorrhizal fungi.","YES",NA,"YES","YES","Article",NA,"YES",NA,"Sampling design layout unclear","USA","persistence of basidiospores and sclerotia of ectomycorrhizal fungi and morchella in soil"
352,"Amara","not vetted",381,"Milne, Jeremy","Post-fire colonization of cistus creticus l seedlings by ectomycorrhizal fungi in aleppo pine forests in central greece",NA,NA,NA,NA,NA,2002,NA,"YES","PhD thesis","MAYBE","NA","PhD Thesis","NO PUBLICATION FOUND",NA,NA,NA,NA,"postfire colonization of cistus creticus l seedlings by ectomycorrhizal fungi in aleppo pine forests in central greece"
353,"Amara","not vetted",137,"Miyamoto, Yumiko; Danilov, Aleksandr V.; Bryanin, Semyon V.","The dominance of <i>Suillus</i> species in ectomycorrhizal fungal communities on <i>Larix gmelinii</i> in a post-fire forest in the Russian Far East","MYCORRHIZA",31,"55","66","10.1007/s00572-020-00995-3",2021,"Wildfires can negatively affect ectomycorrhizal (EM) fungal communities. However, potential shifts in community structures due to wildfires have rarely been evaluated in the forests of eastern Eurasia, where surface fires are frequent. We investigated EM fungal communities in a Larix gmelinii-dominated forest that burned in 2003 in Zeya, in the Russian Far East. A total of 120 soil samples were collected from burned and adjacent unburned forest sites. The EM fungal root tips were morphotyped and internal transcribed spacer (ITS) sequences were obtained for fungal identification. We detected 147 EM fungal operational taxonomic units, and EM fungal richness was 25% lower at the burned site than at the unburned site. EM fungal composition was characterized by the occurrence of disturbance-adapted fungi (Amphinema and Wilcoxina) at the burned site and late-successional fungi (Lactarius, Russula and Cortinarius) at the unburned site. These findings suggest that the EM fungal communities did not recover to pre-fire levels 16 years after the fire. Suillus species were the dominant EM fungi on L. gmelinii, with greater richness and frequency at the burned site. Both Larix and Suillus exhibit adaptive traits to quickly colonize fire-disturbed habitats. Frequent surface fires common to eastern Eurasia are likely to play important roles in maintaining Larix forests, concomitantly with their closely associated EM fungi.","YES",NA,"YES","YES","Article",NA,"YES",NA,"NO REPLICATES","Russia","the dominance of <i>suillus<i> species in ectomycorrhizal fungal communities on <i>larix gmelinii<i> in a postfire forest in the russian far east"
354,"Amara","not vetted",259,"Miyamoto, Yumiko; Danilov, Aleksandr V.; Bryanin, Semyon V.","The dominance of <i>Suillus</i> species in ectomycorrhizal fungal communities on <i>Larix gmelinii</i> in a post-fire forest in the Russian Far East (November, 10.1007/s00572-020-00995-3, 2020)","MYCORRHIZA",31,"67","67","10.1007/s00572-020-01004-3",2021,NA,"YES",NA,"DUPLICATED","NA","NA",NA,NA,NA,NA,NA,"the dominance of <i>suillus<i> species in ectomycorrhizal fungal communities on <i>larix gmelinii<i> in a postfire forest in the russian far east november 101007s00572020009953 2020"
355,"Amara","not vetted",131,"Miyamoto, Yumiko; Maximov, Trofim C.; Sugimoto, Atsuko; Nara, Kazuhide","Discovery of <i>Rhizopogon</i> associated with <i>Larix</i> from northeastern Siberia: Insights into host shift of ectomycorrhizal fungi","MYCOSCIENCE",60,"274","280","10.1016/j.myc.2019.03.003",2019,"Rhizopogon (Boletales) is an ectomycorrhizal fungal genus that exhibits a strong specificity to Pinaceae. This strict association occurs almost exclusively with Pinus and Pseudotsuga, while associations with other genera in Pinaceae are inconclusive. Here, we describe Rhizopogon laricinus sp. nov. associated with Larix cajanderi distributed in northeastern Siberia, where forest fires are frequent. We confirmed the host identity by comparing rDNA internal transcribed spacer (ITS) sequences obtained from basidiomata and ectomycorrhizal root tips collected at the same sites. Morphological characteristics and molecular identification revealed that R. laricinus is a new species associated with Larix unequivocally. The molecular phylogeny based on ITS sequences placed this species sister to the subgenus Roseoli, which is specific to Pinus, and not to the Pseudotsuga-specific subgenus Villosuli. Thus, R. laricinus evolution does not correspond to host phylogeny as Larix and Pseudotsuga form a monophyletic Glade. Instead, ecological traits of Rhizopogon for adapting to disturbed habitats may have driven the host shift to Larix under high-frequency fire ecosystems. (C) 2019 The Mycological Society of Japan. Published by Elsevier B.V. All rights reserved.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"discovery of <i>rhizopogon<i> associated with <i>larix<i> from northeastern siberia insights into host shift of ectomycorrhizal fungi"
356,"Amara","not vetted",17,"Mizota, C.","Use of delta15N values (15N/14N) for studies of nitrogen cycle in forest ecosystems from Darhad Basin, northern Mongolia.","Multidisciplinary research on Mongolian ecosystems: Conference Proceedings from Second International Symposium by Japan and Mongolia, Ulaanbaatar, Mongolia, March 2013",NA,"35","39",NA,2013,"Nitrogen is an essential element for common life. Under natural bio-climatic conditions, nitrogen is a limiting factor for full performance of woody plants. Conifers often harbor symbiotic ectomycorrhizal fungi in their root systems where positive nitrogen acquisition occurs. In the present study, a reconnaissance forest survey was conducted throughout Darhad Basin, northern Mongolia where forest tends to develop on northern slopes. Data indicate that dominant pure spruce (Picea obovata) - cowberry (Vaccinio-Piceetea) stands and spruce larch (Larix sibirica) mixed stands form pristine forests. Forest climax declines by continuous disturbances such as grazing, forest fires and tourism, all processes accelerate nitrogen cycle between soils and fauna. Nitrogen isotope ratios (15N/14N as commonly designated by delta15N notation, per mill variation relative to atmospheric dinitrogen) have increasingly been used to trace nitrogen dynamics in ecosystems. An apparent nitrogen isotope fractionation between host and symbiont is marked in the pristine forest where spruce dominates, whereas the occurrence is less in larch-dominant forest. Foliar nitrogen isotope ratios provide an estimate for integration of the nitrogen cycle in forest ecosystems from Darhad Basin.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"use of delta15n values 15n14n for studies of nitrogen cycle in forest ecosystems from darhad basin northern mongolia"
357,"Amara","not vetted",12,"Mohatt, Katherine R.; Cripps, Cathy L.; Lavin, Matt","Ectomycorrhizal fungi of whitebark pine (a tree in peril) revealed by sporocarps and molecular analysis of mycorrhizae from treeline forests in the Greater Yellowstone Ecosystem","BOTANY",86,"14","25","10.1139/B07-107",2008,"Whitebark pine (Pinus albicaulis Engelm.) is unique as the only stone pine in North America. This species has declined 40%-90% throughout its range owing to blister rust infection, mountain pine beetle, fire suppression, and global climate change. However, intact mature and old growth forests still exist in the Greater Yellowstone Ecosystem (GYE) at high timberline elevations. This study addresses the urgent need to discover the ectomycorrhizal (ECM) fungi critical to this tree species before forests are further reduced. A study of mature whitebark pine forests across five mountain ranges in the Northern GYE confirmed 32 ECM species of fungi with the pine by sporocarp occurrence in pure stands or by identification of mycorrhizae with ITS-matching. Boletales and Cortinariales (Cortinarius) comprise 50% of the species diversity discovered. In Boletales, Suillus subalpinus M.M. Moser (with stone pines), Suillus sibericus Singer (stone pines), Rhizopogon evadens A.H. Sm. (five-needle pines), Rhizopogon spp. (pines) and a semi-secotioid Chroogomphus sp. (pines) are restricted to the hosts listed and are not likely to occur with other high elevation conifers in the GYE. The ascomycete generalist, Cenococcum geophilum Fr., was the most frequent (64%) and abundant (51%) ECM fungus on seedling roots, as previously reported for high elevation spruce-fir and lower elevation lodgepole pine forests in the GYE. The relative importance of the basidiomycete specialists and the ascomycete generalist to whitebark pine (and for seedling establishment) is not known, however this study is the first step in delineating the ECM fungi associated with this pine in peril.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"ectomycorrhizal fungi of whitebark pine a tree in peril revealed by sporocarps and molecular analysis of mycorrhizae from treeline forests in the greater yellowstone ecosystem"
358,"Amara","not vetted",463,"Moreira, Milene; Baretta, Dilmar; Tsai, Siu Mui; Bran Nogueira Cardoso, Elke Jurandy","Spore density and root colonization by arbuscular mycorrhizal fungi in preserved or disturbed <i>Araucaria angustifolia</i> (Bert.) O. Ktze. ecosystems","SCIENTIA AGRICOLA",63,"380","385","10.1590/S0103-90162006000400009",2006,"Araucaria angustifolia (Bert.) O. Ktze., a native forest tree from Brazil, is under extinction risk. This tree depends on arbuscular mycorrhizal fungi for growth and development, especially in tropical low-P soils but, despite being a conifer, Araucaria does not form ectomycorrhiza, but only the arbuscular endomycorrhiza. This study aimed at surveying data on the spore density and root colonization (CR) by arbuscular mycorrhizal fungi (AMF) in Araucaria angustifolia forest ecosystems, in order to discriminate natural, implemented, and anthropic action-impacted ecosystems, by means of Canonical Discriminant Analysis (CDA). Three ecosystems representative of the Campos do Jordao (SP, Brazil) region were selected: 1. a native forest (FN); 2. a replanted Araucaria forest (R); and 3. a replanted Araucaria forest, submitted to accidental fire (RF). Rhizosphere soil and roots were sampled in May and October, 2002, for root colonization, AMF identification, and spores counts. Root percent colonization rates at first collection date were relatively low and did not differ amongst ecosystems. At the second period, FN presented higher colonization than the other two areas, with much higher figures than during the first period, for all areas. Spore density was lower in FN than in the other areas. A total of 26 AMF species were identified. The percent root colonization and spore numbers were inversely related to each other in all ecosystems. CDA indicated that there is spatial distinction among the three ecosystems in regard to the evaluated parameters.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"spore density and root colonization by arbuscular mycorrhizal fungi in preserved or disturbed <i>araucaria angustifolia<i> bert o ktze ecosystems"
359,"Amara","not vetted",310,"Morera, Albert; de Aragon, Juan Martinez; De Caceres, Miquel; Bonet, Jose Antonio; de-Miguel, Sergio","Historical and future spatially-explicit climate change impacts on mycorrhizal and saprotrophic macrofungal productivity in Mediterranean pine forests","AGRICULTURAL AND FOREST METEOROLOGY",319,NA,NA,"10.1016/j.agrformet.2022.108918",2022,"Fungi are responsible for many of the processes that occur in natural ecosystems and largely determine forest ecosystem dynamics, such as the ability of trees to access limiting nutrients and sequester carbon. Understanding and predicting climate change impacts on fungal dynamics over large scales is key in order to gain further insights into the effects of global change on natural ecosystem functioning and related ecosystem services. In this study, we use predictive models based on machine learning algorithms to estimate, in a spatially explicit way, the historical and future (1976-2100) evolution of mycorrhizal and saprotrophic macrofungal productivity in Mediterranean forest areas under climate change scenarios. The greatest changes in total productivity, as well as mycorrhizal fungi, are predicted to occur in subalpine and montane pine forests, where fungal productivity is estimated to decrease, and will be more pronounced under climate change scenarios with higher expected increase in temperature. In contrast to mycorrhizal species, saprotrophic fungi could benefit from pronounced changes in climate and increase their productivity in supra- and mesomediterranean regions at mid-range elevations. Moreover, we estimated that fungal productivity has also changed historically in some scattered areas where changes in climate over the years may have led to a decrease in productivity. This study contributes to raising awareness on the need for anticipating potential global change impacts on this key element of ecosystem functioning, and for deploying possible management policies oriented toward maintaining the important role of fungal productivity in both climate change mitigation and adaptation.","MAYBE","Predictive model","NO","NA","NA",NA,NA,NA,NA,NA,"historical and future spatiallyexplicit climate change impacts on mycorrhizal and saprotrophic macrofungal productivity in mediterranean pine forests"
360,"Amara","not vetted",528,"Mori, Shigeta; Marjenah","A convenient method for inoculating dipterocarp seedlings with the ectomycorrhizal fungus, Scleroderma columnare","Ecological Studies; Rainforest ecosystems of East Kalimantan: El Nino, drought, fire and human impacts",140,"251","258",NA,2000,NA,"NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"a convenient method for inoculating dipterocarp seedlings with the ectomycorrhizal fungus scleroderma columnare"
361,"Amara","not vetted",121,"Motiejunaite, Jurga; Adamonyte, Grazina; Irsenaite, Reda; Juzenas, Sigitas; Kasparavicius, Jonas; Kutorga, Ernestas; Markovskaja, Svetlana","Early fungal community succession following crown fire in <i>Pinus mugo</i> stands and surface fire in <i>Pinus sylvestris</i> stands","EUROPEAN JOURNAL OF FOREST RESEARCH",133,"745","756","10.1007/s10342-013-0738-6",2014,"The early post-fire development of mycobiota following a crown fire in mountain pine plantations and a surface fire in Scots pine plantations, and in the corresponding unburnt stands in the coastal sand dunes of the Curonian Spit in western Lithuania was investigated. Species numbers in unburnt Pinus mugo and Pinus sylvestris stands showed annual fluctuation, but in the burnt sites, the numbers of fungi increased yearly, especially in the crown fire plots. Both burnt stand types-P. mugo and P. sylvestris-showed strongly significant (two-way ANOSIM; R = 1, p < 0.05) differences in species composition; the differences between unburnt sites were clearly expressed but less significant (R = 0.86, p < 0.05). Fungal species composition of burnt P. mugo and P. sylvestris sites was qualitatively different from that of corresponding unburnt sites (two-way ANOSIM; R a parts per thousand yen 0.75, p < 0.05). The chronosequence of mycobiota in surface fire burns was less clearly defined than in crown fire sites, reflecting the greater patchiness of impacts of the surface fire. Although both fire types were detrimental or at least damaging to all functional groups of fungi (saprobic on soil and forest litter, wood-inhabiting, biotrophic, and mycorrhizal and lichenized fungi), their recovery and appearance (fructification) patterns varied between the groups and among the burn types. The end of the early post-fire fungal succession (cessation of sporocarp production of pyrophilous fungi) was recorded 3 years after the fire for both crown and surface fire types, which is earlier than reported by other authors. Rare or threatened fungal species that are dependent on fire regime were not recorded during the study.","YES",NA,"YES","YES","Article",NA,"YES",NA,"DUPLICATED DATASET¿","Lithuania","early fungal community succession following crown fire in <i>pinus mugo<i> stands and surface fire in <i>pinus sylvestris<i> stands"
362,"Amara","not vetted",159,"Mrak, Tanja; Sibanc, Natasa; Brailey-Jones, Philip; Straus, Ines; Gricar, Jozica; Kraigher, Hojka","Extramatrical Mycelium and Ectomycorrhizal Community Composition of <i>Quercus pubescens</i> in a Sub-Mediterranean Stress-Prone Environment","FRONTIERS IN FORESTS AND GLOBAL CHANGE",4,NA,NA,"10.3389/ffgc.2021.599946",2021,"Temporal studies that would offer insight into resilience of ectomycorrhizal (ECM) communities in stress prone climates are scarce despite their role in tree nutrition and water supply. Our study characterized the vitality, community composition, diversity, and function of Quercus pubescens Willd. ECM fungi in the Sub-Mediterranean stress-prone environment for 2 consecutive years (June 2016-May 2018) and related the investigated measures to environmental parameters. ECM community was assessed for species actively associating with root tips and exploring the soil volume through the assessment of mycelial ingrowth into sand-filled mesh bags. The investigated period was characterized by a drier than average summer combined with wildfire in 2016 followed by another dry summer in 2017. The vital to non-vital ECM root tip ratio decreased below one in August 2016 and remained low until January 2018. This was ascribed to a series of stress events that occurred at the site including sequential droughts and wildfire. The most abundant ECM lineages on root tips were Tomentella and other Thelephoraceae, Sebacina, and Cenococcum while in mesh bags the most abundant were Tomentella, Sebacina, Pseudotomentella, Pyronemataceae, Inocybe, Cortinarius, Agaricales, and Boletales lineages. High intra-site variability was observed, with ECM communities directly associated with root tips and exploring the soil volume varying significantly among the plots. Community composition was stable over time, while species richness varied with mean air and soil temperature, relative air humidity, and solar radiation. The most abundant exploration type observed at this site was short distance, which was associated with precipitation along with long distance exploration type. The medium distance exploration type was temporally variable and responded to soil temperature and relative air humidity reflecting seasonality at the site. The presented results indicate complex relationships between environmental parameters, abiotic stress, and ECM fungi.","YES",NA,"YES","YES","Article",NA,"NO","Off_topic","Sampling design does not contemplate fire as a treatment","Slovenia","extramatrical mycelium and ectomycorrhizal community composition of <i>quercus pubescens<i> in a submediterranean stressprone environment"
363,"Amara","not vetted",285,"Mullin, Brady C.; Tuininga, Amy R.; Dighton, John; Van Horn, Meghan M.; Huskins, Rebecca E.; Vargas, Alan M.","Ericaceous control of phosphorus availability following fire: interactions between ectomycorrhizal pitch pine (Pinus rigida) and ericoid mycorrhizal blueberry plants (Vaccinium angustifolium).","Ecological Society of America Annual Meeting Abstracts",89,"362","362",NA,2004,NA,"NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"ericaceous control of phosphorus availability following fire interactions between ectomycorrhizal pitch pine pinus rigida and ericoid mycorrhizal blueberry plants vaccinium angustifolium"
364,"Amara","not vetted",499,"Mulyani, R. B.; Sastrahidayat, I. R.; Abadi, A. L.; Djauhari, S.","Exploring ectomycorrhiza in peat swamp forest of Nyaru Menteng Palangka Raya Central Borneo.","Journal of Biodiversity and Environmental Sciences (JBES)",5,"133","145",NA,2014,"The ecosystem of peat swamp forest was found unique and stable in regulating the balance in water system as well as maintaining diversity of flora, fauna and microbes. Peat swamp forest destruction due to fire, illegal logging, or forest conversion into industrial and agricultural areas would spoil balance in biological ecosystem in the forest. This research, therefore, aimed to obtain information on fungi as ectomycorrhiza in peat swamp forest. This research is categorized as explorative observation using surveying method delivered in peat swamp forest of Nyaru Menteng, Palangka Raya, Central Borneo. Samples were obtained randomly from under a forest stand planted on 35 sample points. The results of the observation revealed that there were 15 species of fungi which were potential to be ectomycorrhiza, such as Russula sp.1, Russula sp.2, Russula sp.3, Russula sp.4, Russula sp.5, Russula aeruginea, Russula minutula, Hygrocybe sp.1, dan Hygrocybe sp.2, Scleroderma sp. Amanita sp., Collybia sp., Lycoperdon sp., Lepiota sp., dan Laccaria sp. Of those kinds, 48.04% were dominated by Russulaceae family. Basidiocarp was found to be associated with a stand of Angiospermae, more like the kind of belangiran (Shorea balangeran, Dipterocarpaceae), nyatoh (Palaquiumsp., Sapotaceae), guava (Syzygiumsp., Myrtaceae), geronggang (Cratoxylum arborescens, Hypericaceae), wood charcoal (Diospyros spp., Ebenaceae), rubber (Hevea brasiliensis, Euphorbiaceae), or trees of Gymnospermae such as melinjo (Gnetum gnemon, Gnetaceae). The abundance of basidiocarp Russulaceae presumably related to the nutrient content of the soil in the form of organic C and P very high element.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"exploring ectomycorrhiza in peat swamp forest of nyaru menteng palangka raya central borneo"
365,"Amara","not vetted",548,"Munyanziza, E; Oldeman, RAA","Miombo trees: Ecological strategies, silviculture and management","AMBIO",25,"454","458",NA,1996,"The main miombo trees in Morogoro, Tanzania, were studied in the nursery and in the field to determine the ecological strategies by which they survive in the miombo woodland, i.e. in a hostile climate, bush fires and low soil fertility, Aspects studied included seed production, seed germination, nursery techniques, symbiosis and seedling growth characteristics, Miombo trees are known to produce huge amounts of seeds germinating immediately in most species studied, or have dormancy arresting germination until conditions are favorable, The tree's big seeds feed the seedlings in the initial establishment process, Miombo seedlings develop a strong taproot as a sure source of food and energy, Pruning this taproot proved to negatively affect seedling growth, Miombo trees were shown to form ectomycorrhizae with a wide range of fungi, Seedlings are colonized before epigeal germination is completed. Many strategies interact in complex ways to ensure tree regeneration and survival.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"miombo trees ecological strategies silviculture and management"
366,"Amara","not vetted",523,"Munyanziza, Esron","Miombo Trees and Mycorrhizae : Ecological Strategies, A Basis for Afforestation",NA,NA,NA,NA,NA,1994,NA,"NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"miombo trees and mycorrhizae  ecological strategies a basis for afforestation"
367,"Amara","not vetted",143,"Murata, Masao; Nagata, Yuki; Nara, Kazuhide","Soil spore banks of ectomycorrhizal fungi in endangered Japanese Douglas-fir forests","ECOLOGICAL RESEARCH",32,"469","479","10.1007/s11284-017-1456-1",2017,"Interactions between trees and ectomycorrhizal fungi are critical to the growth and survival of both partners. However, ectomycorrhizal symbiosis has barely been explored in endangered trees, and no information is available regarding soil spore banks of ectomycorrhizal fungi from forests of threatened trees. Here, we evaluated soil spore banks of ectomycorrhizal fungi from endangered Japanese Douglas-fir (Pseudotsuga japonica) forests using bioassay approaches with congeneric P. menziesii and Pinus densiflora seedlings in combination with molecular identification techniques. Rhizopogon togasawariana was predominant in soil propagule banks and was found in all remaining P. japonica forests when assayed with P. menziesii, while no colonization of this fungus was observed on Pinus seedlings. Given the observed specificity of R. togasawariana for P. menziesii and its phylogenetic position within the Pseudotsuga-specific Rhizopogon lineage, its geographical distribution is likely restricted to the remaining Japanese Douglas-fir forests, indicating a high extinction risk for this fungus as well as its endangered host. Spore banks of R. togasawariana remained highly infective after preservation for 1 year or heat treatment at 70 A degrees C, suggesting an ecological strategy of establishing ectomycorrhizal associations on regenerating Japanese Douglas-fir seedlings after disturbance, as observed in other Rhizopogon-Pinaceae combinations. Therefore, the regeneration of Japanese Douglas-fir seedlings may depend largely on the soil spore banks dominated by R. togasawariana, which has co-evolved with the Japanese Douglas-fir for over 30 million years. More attention must be paid to underground ectomycorrhizal fungi for the conservation of endangered tree species, especially in the era of human-induced mass extinction.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"soil spore banks of ectomycorrhizal fungi in endangered japanese douglasfir forests"
