"","Genus","obj_id","species","speciesMatched","uuid","ifungorum_number","acid_phosphatase","acidPhosphatase_count","alpha_glucosidase","alphaGlucosidase15_count","alphaGlucosidase31_count","alphaMannanase76_count","aminoAcidPermease_count","ammoniumTransporter_count","amylase88_count","ascoma_development","ascoma_type","ascus_dehiscence","auxinResponsivePromoter_count","beta_glucosidase","beta_glucuronidase","beta_xylosidase","betaGlucanSynthase_count","betaGlucosidase1_count","betaXylosidase43_count","blueChannel_mean","blueChannel_sd","cellobiohydrolase","cellobiohydrolase6_count","cellobiohydrolase7_count","chitinase_count","chitosanase8_count","Cohens_d_Cellulose","Cohens_d_Glucose","Cohens_d_Lignin","Cohens_d_Tannin","Cohens_d_Xylan","coldShockProtein_count","colour_mean","confidence_fg","crystalineCellulaseAA9_count","culture_media","culture_notes","dsDNA","elevation","em_expl","em_text","endoglucanase12_count","endoglucanase9_count","extension_rate","fruiting_body_size","fungalLigninPeroxidase_count","glucosidase81_count","glycopeptidase85_count","glycoproteinSynthesis92_count","greenChannel_mean","greenChannel_sd","growth_form_fg","guild_fg","heatShockProtein_count","higher_clade","invertase32_count","latitude","leucine_aminopeptidase","longitude","map","mat","melanin_content","melanin_count","n_acetyl_glucosaminidase","nitrateTransporter_count","notes_fg","peroxidase","phenol_oxidase","phosphateTransporter_count","redChannel_mean","redChannel_sd","RNAHelicase_count","RNApolymerase_count","source_funguild_fg","spore_length","spore_size","spore_width","sporocarp_chitin","sporocarp_N","sporocarp_protein","sporocarp_resp","sterol_type","studyName","substrate","taxonomic_level_fg","tissue_c","tissue_cn","tissue_cp","tissue_n","tissue_np","tissue_p","total_genes","trait_fg","trehalase_count","trophic_mode_fg"
"103","Boletopsis","Tedersoo_Smith_2013_21","Boletopsis","Boletopsis sp.","d62d3282-c6bd-4d48-bf44-a8c7ec894d42",17172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"MD","Mat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boletoid","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Tedersoo_Smith_2013",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"104","Boletus","Zhang_and_Elser_360","Boletus_edulis","Boletus edulis","3029f8de-d317-447b-9854-7acd329ab9dd",216300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,120,"LD",NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,"Boletoid","Ectomycorrhizal",NA,"Basidiomycota",NA,54.365,NA,18.539,565,6,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",5.5,35.2774675059354,3.5,7,5.3,107,10,NA,"Zhang_and_Elser","",13,44,11.93,135.32,4.59,20.27,0.64,NA,"NULL",NA,"Symbiotroph"
"105","Bolitinellus","Talbot_etal_2015_7","Bolitinellus_meruloides","Bolitinellus meruloides",NA,NA,201.076814125847,NA,71.2136681199063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.04604385048,4.68604713941922,23.0018428519095,NA,NA,NA,NA,NA,47.583025781762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291065600518251,NA,NA,NA,NA,NA,1697.15623637624,NA,NA,0.040518518832261,0.164498006132665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talbot_etal_2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Bombardia","Schoch_etal_2009_34","Bombardia_bombarda","Bombardia bombarda","61d9cd4f-e6e8-4154-a877-b7d9023dcee1",119710,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Ostiolar","Poricidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Bonomyces","Bassler_etal_2015_58","Clitocybe_sinopica","Bonomyces sinopicus","df3f6c79-1cf9-49c4-b0cf-4956b2591545",550626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,139.381994064267,5.5,NA,NA,NA,NA,NA,"Bassler_etal_2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Boreoplaca","Schoch_etal_2009_35","Boreoplaca_ultrafrigida","Boreoplaca ultrafrigida","605ef35f-b5ed-4a94-9d98-c8a7fc5d933b",362253,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Rostrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Botryobasidium","Talbot_etal_2015_8","Botryobasidium_subcoronata","Botryobasidium subcoronata","1cb17f99-36b9-11d5-9548-00d0592d548c",255304,814.560626404711,14,1.35898706061683,5,7,0,0,3,6,NA,NA,NA,0,255.247858194712,8.63176154463808,21.3521069970265,0.999999999999999,4,0.999999999999999,NA,NA,33.5814572256502,3,7,13,0,NA,NA,NA,NA,NA,5,NA,NA,32,NA,NA,NA,NA,NA,NA,0,5,NA,NA,0,0,0,2,NA,NA,NA,NA,6,"Basidiomycota",0,NA,0,NA,NA,NA,NA,7,115.853544256858,0,NA,0.059359486271669,0.047623831946383,0.999999999999999,NA,NA,17,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talbot_etal_2015",NA,NA,NA,NA,NA,NA,NA,NA,16526,NA,2,NA
"110","Botryodiplodia","Treseder_etal_2016_2314","Sphaeropsis_ulmicola","Botryodiplodia ulmicola","7e4ae9c3-06c2-45c9-8931-71d83cf563c0",280988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Botryosphaeria","Schoch_etal_2009_36","Botryosphaeria_dothidea","Botryosphaeria dothidea","1cb17fad-36b9-11d5-9548-00d0592d548c",183247,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascolocular","Ostiolar","Fissitunicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microfungus","Plant Pathogen",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"http://www.apsnet.org/publications/commonnames/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph"
"112","Botryotinia","Schoch_etal_2009_41","Botryotinia_fuckeliana","Botryotinia fuckeliana","1cb17fba-36b9-11d5-9548-00d0592d548c",284645,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Poricidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL","Plant Pathogen",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"James TY, et al. 2006. Nature 443:818-822; http://www.apsnet.org/publications/commonnames/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph"
"113","Botrytis","Anderson_2008_5","Botrytis_allii","Botrytis allii","1cb1babe-36b9-11d5-9548-00d0592d548c",237131,NA,11,NA,4,6,9,1,1,1.99999999999999,NA,NA,NA,0,NA,NA,NA,1,6,4.99999999999999,NA,NA,NA,1,3,7,0,NA,NA,NA,NA,NA,0,NA,"Probable",9,NA,NA,4,NA,NA,NA,4,0,5.3,NA,0,1.99999999999999,0,4.99999999999999,NA,NA,"Microfungus","Plant Pathogen",1.99999999999999,"Ascomycota",1.99999999999999,NA,NA,NA,NA,NA,NA,9,NA,1,"NULL",NA,NA,1,NA,NA,18,26,"http://www.apsnet.org/publications/commonnames/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,"Anderson_2008",NA,20,NA,NA,NA,NA,NA,NA,16447,"NULL",1,"Pathotroph"
"114","Brevicellicium","Treseder_etal_2016_90","Brevicellicium_exile","Brevicellicium exile","0b6b2a15-8d8d-4890-8795-57313fa68568",309948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Bryoria","Treseder_etal_2016_162","Bryoria_simplicior","Bryoria simplicior","544556ea-aab8-4762-9aea-93d18b9c680d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427190999916,-0.894427190999916,-0.894427190999916,0,-0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Buchwaldoboletus","Siletti_etal_2017_67","Buchwaldoboletus sp _","Buchwaldoboletus sp  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,153.4396793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siletti_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Buckleyzyma","Treseder_etal_2016_2179","Rhodotorula_armeniaca","Buckleyzyma armeniaca","e60f7093-436c-4f8a-82fe-306bf00eafeb",813133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Buellia","Schoch_etal_2009_25","Buellia_disciformis","Buellia disciformis var. disciformis","7e29acda-1016-4d3d-9a42-0f05a4f11c99",430965,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Rostrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Bulgaria","Schoch_etal_2009_43","Bulgaria_inquinans","Bulgaria inquinans","1cb17fff-36b9-11d5-9548-00d0592d548c",144779,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Poricidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cup fungus","Plant Pathogen-Undefined Saprotroph-Wood Saprotroph",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Considered saprobic and possibly facultatively plant pathogenic (Crous et al. 2014)",NA,NA,NA,NA,NA,NA,NA,"Worrall JJ, et al. 1997. Mycologia 89: 199-219; Crous PW, et al. 2014. IMA Fungus 5:173-193 ()",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,20,NA,NA,NA,NA,NA,NA,NA,"Soft rot fungus",NA,"Pathotroph-Saprotroph"
"120","Bullera","Treseder_etal_2016_96","Bullera_unica","Bullera unica","1cb1acad-36b9-11d5-9548-00d0592d548c",436791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Butyriboletus","Zhang_and_Elser_411","Boletus_appendiculatus","Butyriboletus appendiculatus","31344471-e5a0-4dd5-a351-7a587cb23e5a",803319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,43.396,NA,21.459,762,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhang_and_Elser","",NA,44,NA,143.92,NA,NA,0.79,NA,NA,NA,NA
"122","Byssocorticium","Tedersoo_Smith_2013_23","Byssocorticium","Byssocorticium sp.","e1dfde9f-b9ed-4ff8-aeba-e0a5a05b3a3a",17207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Resupinate","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Tedersoo_Smith_2013",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"123","Byssolecania","Treseder_etal_2016_102","Byssolecania_variabilis","Byssolecania variabilis","ab4a72c8-e102-4320-8814-fded3aaba04f",489900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427190999916,0.894427190999916,-0.894427190999916,0.894427190999916,-0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Byssoporia","Tedersoo_Smith_2013_24","Byssoporia","Byssoporia sp.","e2953210-d438-4768-bf2a-c9f6e13ee999",17210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,"MD","Smooth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Resupinate","Ectomycorrhizal",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html",NA,NA,NA,NA,NA,NA,NA,NA,"Tedersoo_Smith_2013",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"125","Byssothecium","Schoch_etal_2009_44","Byssothecium_circinans","Byssothecium circinans","1cb18008-36b9-11d5-9548-00d0592d548c",165669,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascolocular","Ostiolar","Fissitunicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Cadophora","Tedersoo_Smith_2013_25","Cadophora_finlandica","Cadophora finlandica","1662e255-f11c-4ad8-808f-086a312ac28b",531604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.894427190999916,0.894427190999916,0.894427190999916,0.894427190999916,NA,NA,"Highly Probable",NA,NA,NA,NA,NA,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microfungus","Endophyte",NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dark Septate Endophyte, known from plant roots.",NA,NA,NA,NA,NA,NA,NA,"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; Newsham 2011. New Phytologist 190:783-793 (as DSE)",NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,13,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Symbiotroph"
"127","Calcarisporium","Treseder_etal_2016_197","Calcarisporium_arbuscula","Calcarisporium arbuscula","82a742cf-14a4-11d6-bebb-00508bca8de8",196959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427190999916,-0.894427190999916,-0.894427190999916,-0.894427190999916,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Caliciopsis","Schoch_etal_2009_45","Caliciopsis_orientalis","Caliciopsis orientalis","8517a2f5-964f-4331-8c1e-bce17568c119",327244,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascolocular","Ostiolar","Deliquescent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Calocera","Trocha_etal_2016_12","Calocera_viscosa","Calocera viscosa","1cb18023-36b9-11d5-9548-00d0592d548c",327252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.9,28,9,NA,"Trocha_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Calocybe","Bassler_etal_2015_41","Calocybe_gambosa","Calocybe gambosa","ad734f50-2db2-405d-83da-a72236a2b0b9",293917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9025,NA,NA,NA,NA,NA,NA,"Agaricoid","Undefined Saprotroph",NA,"Basidiomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"http://en.wikipedia.org/wiki/List_of_deadly_fungi",4,16.4200576027627,2.8,NA,NA,NA,NA,NA,"Bassler_etal_2015",NA,20,NA,NA,NA,NA,NA,NA,NA,"Poisonous",NA,"Saprotroph"
"131","Calophoma","Treseder_etal_2016_1973","Phoma_clematidina","Calophoma clematidina","1cb19972-36b9-11d5-9548-00d0592d548c",814136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Caloplaca","Treseder_etal_2016_199","Caloplaca_obscurella","Caloplaca digitaurea","b330a522-99a7-44f8-8fcb-6ca1a8ce0fbb",381689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427190999916,-0.894427190999916,0.894427190999916,0,0.894427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treseder_etal_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Caloscypha","Schoch_etal_2009_47","Caloscypha_fulgens","Caloscypha fulgens","1cb18033-36b9-11d5-9548-00d0592d548c",120499,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ascohymenial","Exposed hymenium","Operculate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL","Undefined Saprotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,"James TY, et al. 2006. Nature 443:818-822",NA,NA,NA,NA,NA,NA,NA,NA,"Schoch_etal_2009",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Saprotroph"
